MJournal,DocAction,2.0
MMovementLineMA,X_M_MovementLineMA,5.0
OrderBatchProcess,MOrder,2.5
MInventoryLine,MAttributeSet,1.0
CalloutProject,Ctx,1.0
X_C_ProjectIssue,PO,2.0
MBPGroup,DB,1.0
StorageCleanup,MRefList,0.5
MBank,MLocation,1.5
ImportProduct,DB,15.5
WebLogin,CLogger,1.0
GwtServer,Ini,1.5
MRequest,MRefList,2.5
MBank,X_AD_ClientInfo,0.5
CalloutInOut,X_C_Order,10.0
MInOut,X_C_DocType,4.5
ImportOrder,MBPartner,1.0
X_AD_Column,PO,2.0
GridTab,MRole,0.5
MDunningRun,MDunningRunEntry,2.5
MBankStatementMatcher,DB,0.5
i,MultiPartElement,2.0
MProductPricing,Trace,0.5
CalloutOrder,X_C_Order,8.0
BPartnerOrgUnLink,X_C_BPartner,0.5
MSetup,MTax,0.5
DataMigrationIncludeClient,PO,2.0
MCash,X_C_Cash,27.5
MProduct,X_S_ResourceType,3.0
MMeasureCalc,MMeasureCalc,1.5
MPaymentAllocate,ResponseVO,1.0
img,Printable,2.0
CalloutInvoice,PO,0.5
MWFEventAudit,X_AD_WF_Node,0.5
MPeriod,TimeUtil,2.5
MSLACriteria,MSLAGoal,0.5
MBankAccount,PO,2.0
OrderPOCreate,MBPartner,0.5
ComponentProduct,MBPartner,0.5
X_C_SalesRegion,PO,2.0
MInvoice,MBOMProduct,1.0
DataMigrationIncludeClient,SvrProcess,3.0
MWorkflow,PO,27.5
CostUpdate,SvrProcess,12.5
MProduct,MAttributeSet,0.5
MRequest,X_R_Category,0.5
AcctSchemaCopyAcct,CompiereUserException,2.5
MInvoice,MUser,0.5
MColor,MColor,3.0
MInOut,DB,2.0
FinReport,Ini,0.5
MBPartner,MAccount,0.5
InvoiceGenerate,MInvoiceLine,6.5
MReportColumnSet,X_PA_ReportColumnSet,3.0
MChangeRequest,X_R_Request,1.0
RequisitionPOCreate,CompiereUserException,1.5
BPPaymentAllocCleanup,MInvoice,0.5
MInOutLineConfirm,X_M_InOutLineConfirm,13.5
BPartnerValidate,MPayment,0.5
MSLACriteria,PO,2.0
X_AD_DataMigrationPreview,PO,2.0
MWorkflowProcessor,DB,1.5
MSLAGoal,MSLAGoal,1.0
X_CM_WebProject,PO,2.0
X_AD_LoginMsgLog,PO,2.0
InvoiceCreateInOut,PO,2.0
MInvoiceBatchLine,CLogger,0.5
MPayment,MClient,2.0
VolumeTest,X_C_BPartner_Location,0.5
MReportLine,X_PA_ReportLine,15.5
CalloutInvoiceBatch,GridTab,8.5
MMovementConfirm,MMovementConfirm,5.0
RModelData,RModelData,0.5
X_C_InvoiceBatch,PO,2.0
ImportInOutConfirm,X_M_InOutLineConfirm,2.5
MWFActivity,MTable,0.5
CalloutPaymentAllocate,CLogger,1.0
VolumeTest,MPriceList,2.0
ReplenishReport,X_M_Movement,1.5
MExpenseType,MProduct,2.0
X_C_Project,PO,2.0
MMatchInv,X_C_InvoiceLine,2.0
ProjectGenPO,MBPartner,0.5
DataMigrationPreview,CompiereSystemException,1.0
MSetup,MBPGroup,0.5
InvoiceGenerate,MOrder,1.0
MSLACriteria,CompiereSystemException,1.0
X_PA_SLA_Goal,PO,2.0
MPayment,X_C_PaymentProcessor,4.0
BOMValidate,PO,3.0
ComponentProduct,MProduct,0.5
MScheduler,MSchedulerPara,6.0
WebDoc,WebDoc,8.0
WebDoc,link,2.0
MProductCosting,PO,1.5
